id,title_type,title,year,runtime,genre,score,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0099780,Feature Film,Holidays on the River Yarra,1991,88,Drama,6,56,FALSE,FALSE,FALSE,TRUE
tt0099787,TV Movie,Home for Christmas,1990,95,Drama,5.7,223,TRUE,FALSE,FALSE,FALSE
tt0099930,TV Movie,The Kid Who Loved Christmas,1990,118,Drama,6.3,304,TRUE,FALSE,FALSE,FALSE
tt0100173,TV Movie,A Mom for Christmas,1990,96,Comedy,6.5,1209,TRUE,FALSE,FALSE,FALSE
tt0101301,Feature Film,All I Want for Christmas,1991,92,Comedy,5.9,5420,TRUE,FALSE,FALSE,FALSE
tt0101348,Feature Film,The Comic Book Christmas Caper,1990,104,Other,6.6,60,TRUE,FALSE,FALSE,FALSE
tt0101580,TV Movie,Christmas on Division Street,1991,120,Drama,6.7,567,TRUE,FALSE,FALSE,FALSE
tt0102285,Feature Film,Lena's Holiday,1991,100,Comedy,5.5,314,FALSE,FALSE,FALSE,TRUE
tt0102821,Feature Film,Russian Holiday,1993,89,Other,3.5,267,FALSE,FALSE,FALSE,TRUE
tt0103960,TV Movie,The Christmas Stallion,1992,95,Drama,5.7,118,TRUE,FALSE,FALSE,FALSE
tt0103961,TV Movie,Christmas in Connecticut,1992,93,Comedy,4.8,1565,TRUE,FALSE,FALSE,FALSE
tt0104940,Feature Film,The Muppet Christmas Carol,1992,85,Comedy,7.7,66015,TRUE,FALSE,FALSE,FALSE
tt0105694,Feature Film,Unforgetful Holiday,1992,94,Comedy,5.3,24,FALSE,FALSE,FALSE,TRUE
tt0107688,Feature Film,The Nightmare Before Christmas,1993,76,Animation,7.9,367288,TRUE,FALSE,FALSE,FALSE
tt0109425,TV Movie,A Christmas Romance,1994,94,Comedy,6.1,867,TRUE,FALSE,FALSE,FALSE
tt0110732,TV Movie,One Christmas,1994,90,Drama,6,751,TRUE,FALSE,FALSE,FALSE
tt0112509,Feature Film,Billy's Holiday,1995,92,Other,5.1,164,FALSE,FALSE,FALSE,TRUE
tt0112667,TV Movie,The Christmas Box,1995,100,Drama,7,1270,TRUE,FALSE,FALSE,FALSE
tt0113321,Feature Film,Home for the Holidays,1995,103,Comedy,6.6,14315,FALSE,FALSE,FALSE,TRUE
tt0115891,TV Movie,Christmas Every Day,1996,95,Comedy,6.2,1128,TRUE,FALSE,FALSE,FALSE
tt0115892,TV Movie,The Christmas Tree,1996,93,Drama,6.9,437,TRUE,FALSE,FALSE,FALSE
tt0116092,Feature Film,The Devil Takes a Holiday,1996,102,Comedy,6.1,34,FALSE,FALSE,FALSE,TRUE
tt0116544,TV Movie,Holiday Affair,1996,87,Comedy,6.3,420,FALSE,FALSE,FALSE,TRUE
tt0116717,Feature Film,The Christmas Party,1996,84,Comedy,7,451,TRUE,FALSE,FALSE,FALSE
tt0117109,TV Movie,The Munsters' Scary Little Christmas,1996,91,Comedy,4.9,654,TRUE,FALSE,FALSE,FALSE
tt0118201,Feature Film,Will It Snow for Christmas?,1996,90,Drama,7,881,TRUE,FALSE,FALSE,FALSE
tt0120489,Feature Film,Christmas Fever,1997,90,Comedy,6.5,65,TRUE,FALSE,FALSE,FALSE
tt0122244,TV Movie,Scrooge's Rock 'N' Roll Christmas,1984,44,Other,4.7,50,TRUE,FALSE,FALSE,FALSE
tt0122260,TV Movie,Skyward Christmas,1981,60,Drama,6.8,18,TRUE,FALSE,FALSE,FALSE
tt0122272,TV Movie,Stubby Pringle's Christmas,1978,55,Drama,7.5,118,TRUE,FALSE,FALSE,FALSE
tt0122494,Feature Film,How the Toys Saved Christmas,1996,93,Other,6.5,585,TRUE,FALSE,FALSE,FALSE
tt0123179,TV Movie,Mister Magoo's Christmas Carol,1962,53,Animation,7.6,3103,TRUE,FALSE,FALSE,FALSE
tt0124013,TV Movie,Mr. Willowby's Christmas Tree,1995,30,Comedy,6.1,270,TRUE,FALSE,FALSE,FALSE
tt0125465,Feature Film,Last Holiday,1996,65,Drama,7.6,25,FALSE,FALSE,FALSE,TRUE
tt0125945,Feature Film,Holiday Hookers,1976,97,Comedy,5.4,98,FALSE,FALSE,FALSE,TRUE
tt0126946,TV Movie,Holiday in Your Heart,1997,96,Drama,5.6,318,FALSE,FALSE,FALSE,TRUE
tt0128083,Feature Film,The Boy Who Saved Christmas,1998,94,Comedy,3.1,198,TRUE,FALSE,FALSE,FALSE
tt0128995,TV Movie,The Christmas Raccoons,1980,30,Animation,7,156,TRUE,FALSE,FALSE,FALSE
tt0129145,Feature Film,Holiday's with Pay,1948,115,Comedy,5.5,41,FALSE,FALSE,FALSE,TRUE
tt0129359,TV Movie,On the 2nd Day of Christmas,1997,96,Comedy,6.1,894,TRUE,FALSE,FALSE,FALSE
tt0129827,TV Movie,A Christmas Reunion,1994,132,Drama,6,87,TRUE,FALSE,FALSE,FALSE
tt0135187,TV Movie,A Christmas Memory,1997,96,Drama,7,792,TRUE,FALSE,FALSE,FALSE
tt0135412,Feature Film,Apollo Goes on Holiday,1968,88,Comedy,6,223,FALSE,FALSE,FALSE,TRUE
tt0135467,TV Movie,I'll Be Home for Christmas,1997,94,Drama,6.3,321,TRUE,FALSE,FALSE,FALSE
tt0135636,TV Movie,Christopher's Christmas Mission,1975,23,Animation,8,2726,TRUE,FALSE,FALSE,FALSE
tt0136399,TV Movie,"Merry Christmas, George Bailey",1997,60,Other,7.3,151,TRUE,FALSE,FALSE,FALSE
tt0136444,TV Movie,The Christmas Orange,1996,119,Comedy,7.1,42,TRUE,FALSE,FALSE,FALSE
tt0136755,TV Movie,The Christmas List,1997,96,Comedy,6.7,1449,TRUE,FALSE,FALSE,FALSE
tt0137000,TV Movie,A Holiday for Love,1996,105,Drama,6.4,737,FALSE,FALSE,FALSE,TRUE
tt0137044,Feature Film,Home for Christmas,1975,89,Drama,6.5,102,TRUE,FALSE,FALSE,FALSE
tt0137098,Feature Film,Bloody Christmas,1951,95,Drama,6.7,61,TRUE,FALSE,FALSE,FALSE
tt0139393,TV Movie,Johann's Gift to Christmas,1991,23,Animation,6.2,26,TRUE,FALSE,FALSE,FALSE
tt0140605,TV Movie,The Teddy Bears' Christmas,1992,30,Animation,8.1,142,TRUE,FALSE,FALSE,FALSE
tt0140825,Feature Film,Christmas in August,1998,97,Drama,7.6,3855,TRUE,FALSE,FALSE,FALSE
tt0144827,TV Movie,John Grin's Christmas,1986,50,Family,8.9,37,TRUE,FALSE,FALSE,FALSE
